А	а 
Хӗр	х ӗ р 
ЧНК	ч н к 
ЧНЭ	ч н э 
Чей	ч е й 
Чир	ч и р 
Что	ч т о 
Чун	ч у н 
Чӑн	ч ӑ н 
Чӳк	ч ӳ к 
Шар	ш а р 
Шел	ш е л 
Шеф	ш е ф 
Шыв	ш ы в 
Шӑп	ш ӑ п 
ШӖМ	ш ӗ м 
Ырӑ	ы р ӑ 
Экс	э к с 
Эпӗ	э п ӗ 
Эсӗ	э с ӗ 
Юпа	ю п а 
Юрӑ	ю р ӑ 
ака	а к а 
аки	а к и 
акӑ	а к ӑ 
алӑ	а л ӑ 
ама	а м а 
анӗ	а н ӗ 
ара	а р а 
аса	а с а 
атӑ	а т ӑ 
ача	а ч а 
ачи	а ч и 
бал	б а л 
без	б е з 
бор	б о р 
вак	в а к 
вар	в а р 
ваш	в а ш 
век	в е к 
виҫ	в и ҫ 
вун	в у н 
вут	в у т 
вӑй	в ӑ й 
вӑл	в ӑ л 
вӑх	в ӑ х 
вӑя	в ӑ я 
вӗт	в ӗ т 
газ	г а з 
дом	д о м 
его	е г о 
ейӳ	е й ӳ 
зал	з а л 
икӗ	и к ӗ 
или	и л и 
илӳ	и л ӳ 
йӑх	й ӑ х 
йӗр	й ӗ р 
кВт	к в т 
как	к а к 
кам	к а м 
кас	к а с 
кая	к а я 
каҫ	к а ҫ 
кил	к и л 
кун	к у н 
куҫ	к у ҫ 
кӑк	к ӑ к 
кӑн	к ӑ н 
кӗр	к ӗ р 
леш	л е ш 
люк	л ю к 
лӑк	л ӑ к 
лӑп	л ӑ п 
май	м а й 
ман	м а н 
мар	м а р 
млн	м л н 
мэр	м э р 
мӗн	м ӗ н 
мӗш	м ӗ ш 
наз	н а з 
нам	н а м 
ним	н и м 
нос	н о с 
нём	н ё м 
пай	п а й 
пар	п а р 
пек	п е к 
пер	п е р 
пик	п и к 
пил	п и л 
пин	п и н 
пир	п и р 
пит	п и т 
под	п о д 
пул	п у л 
пур	п у р 
пуш	п у ш 
пуҫ	п у ҫ 
пыл	п ы л 
пӑр	п ӑ р 
пӑх	п ӑ х 
пӗр	п ӗ р 
рӗп	р ӗ п 
сас	с а с 
суд	с у д 
суя	с у я 
сын	с ы н 
сӑн	с ӑ н 
сӗт	с ӗ т 
тав	т а в 
тар	т а р 
тем	т е м 
тен	т е н 
тет	т е т 
тин	т и н 
тип	т и п 
том	т о м 
тот	т о т 
тум	т у м 
тус	т у с 
тух	т у х 
туя	т у я 
тыр	т ы р 
тӑк	т ӑ к 
тӑн	т ӑ н 
тӑп	т ӑ п 
тӗк	т ӗ к 
тӗл	т ӗ л 
тӗн	т ӗ н 
тӗп	т ӗ п 
тӗш	т ӗ ш 
уйӗ	у й ӗ 
ура	у р а 
усӑ	у с ӑ 
утӑ	у т ӑ 
уяв	у я в 
уҫӑ	у ҫ ӑ 
хай	х а й 
хак	х а к 
хал	х а л 
хам	х а м 
хаш	х а ш 
хир	х и р 
хум	х у м 
хур	х у р 
хут	х у т 
хыр	х ы р 
хӑв	х ӑ в 
хӑй	х ӑ й 
хӑш	х ӑ ш 
хӑю	х ӑ ю 
хӗл	х ӗ л 
хӗр	х ӗ р 
хӗҫ	х ӗ ҫ 
цех	ц е х 
час	ч а с 
чат	ч а т 
чей	ч е й 
чир	ч и р 
чул	ч у л 
чун	ч у н 
чуп	ч у п 
чух	ч у х 
чӑв	ч ӑ в 
чӑн	ч ӑ н 
чӑх	ч ӑ х 
чӗп	ч ӗ п 
чӗр	ч ӗ р 
чӳк	ч ӳ к 
шав	ш а в 
шап	ш а п 
шар	ш а р 
шел	ш е л 
шер	ш е р 
шеф	ш е ф 
шим	ш и м 
шне	ш н е 
шур	ш у р 
шут	ш у т 
шыв	ш ы в 
шӑк	ш ӑ к 
шӑп	ш ӑ п 
ырӑ	ы р ӑ 
экс	э к с 
эпӗ	э п ӗ 
это	э т о 
юлӗ	ю л ӗ 
юпа	ю п а 
юра	ю р а 
юрӑ	ю р ӑ 
яла	я л а 
ялӗ	я л ӗ 
яма	я м а 
яни	я н и 
янӑ	я н ӑ 
ята	я т а 
ячӗ	я ч ӗ 
яша	я ш а 
Ҫав	ҫ а в 
Ҫак	ҫ а к 
Ҫил	ҫ и л 
Ҫук	ҫ у к 
Ҫул	ҫ у л 
Ҫур	ҫ у р 
Ҫӗр	ҫ ӗ р 
Ҫӳҫ	ҫ ӳ ҫ 
ҫав	ҫ а в 
ҫак	ҫ а к 
ҫап	ҫ а п 
ҫар	ҫ а р 
ҫеҫ	ҫ е ҫ 
ҫил	ҫ и л 
ҫке	ҫ к е 
ҫук	ҫ у к 
ҫул	ҫ у л 
ҫур	ҫ у р 
ҫут	ҫ у т 
ҫын	ҫ ы н 
ҫыр	ҫ ы р 
ҫӑл	ҫ ӑ л 
ҫӗр	ҫ ӗ р 
ҫӳп	ҫ ӳ п 
ҫӳҫ	ҫ ӳ ҫ 
Ӑна	ӑ н а 
Ӑсӗ	ӑ с ӗ 
ӑна	ӑ н а 
ӑру	ӑ р у 
ӑса	ӑ с а 
ӑсӗ	ӑ с ӗ 
ӑша	ӑ ш а 
ӑшӑ	ӑ ш ӑ 
Ӗне	ӗ н е 
Ӗҫе	ӗ ҫ е 
Ӗҫӗ	ӗ ҫ ӗ 
ӗне	ӗ н е 
ӗҫе	ӗ ҫ е 
ӗҫӗ	ӗ ҫ ӗ 
Авӑн	а в ӑ н 
Адер	а д е р 
Акци	а к ц и 
Алза	а л з а 
Аллӑ	а л л ӑ 
Алма	а л м а 
Анат	а н а т 
Анна	а н н а 
Апла	а п л а 
Асам	а с а м 
Асли	а с л и 
Аслӑ	а с л ӑ 
Атӑл	а т ӑ л 
Ачак	а ч а к 
Ачан	а ч а н 
Ашшӗ	а ш ш ӗ 
Вара	в а р а 
Ватӑ	в а т ӑ 
Вера	в е р а 
Виҫи	в и ҫ и 
Виҫӗ	в и ҫ ӗ 
Вӑйӑ	в ӑ й ӑ 
Вӑрӑ	в ӑ р ӑ 
Гаев	г а е в 
Гора	г о р а 
ДРСУ	д р с у 
Дочь	д о ч ь 
Думи	д у м и 
Енпе	е н п е 
Енре	е н р е 
Енри	е н р и 
Енӗн	е н ӗ н 
Епле	е п л е 
Женя	ж е н я 
Заря	з а р я 
Иван	и в а н 
Ивӑн	и в ӑ н 
Иккӗ	и к к ӗ 
Илес	и л е с 
Илле	и л л е 
Илья	и л ь я 
Инди	и н д и 
Ирхи	и р х и 
Ирҫе	и р ҫ е 
Итле	и т л е 
Йорк	й о р к 
КПСС	к п с с 
Кивӗ	к и в ӗ 
Киле	к и л е 
Кино	к и н о 
Клаб	к л а б 
Клуб	к л у б 
Коми	к о м и 
Круз	к р у з 
Крым	к р ы м 
ЛИРМ	л и р м 
Лару	л а р у 
Лешӗ	л е ш ӗ 
Лиди	л и д и 
Лиза	л и з а 
Люля	л ю л я 
МТРК	м т р к 
Майя	м а й я 
Мамы	м а м ы 
Мана	м а н а 
Мари	м а р и 
Мате	м а т е 
Мост	м о с т 
Мучи	м у ч и 
НТРК	н т р к 
Наци	н а ц и 
Нина	н и н а 
Нови	н о в и 
Нума	н у м а 
Одис	о д и с 
Олег	о л е г 
Омск	о м с к 
Отцы	о т ц ы 
ПТРК	п т р к 
Паян	п а я н 
Петр	п е т р 
Пике	п и к е 
Пире	п и р е 
Пока	п о к а 
Пурӗ	п у р ӗ 
Путь	п у т ь 
Пуху	п у х у 
Пӑва	п ӑ в а 
Пӗлӳ	п ӗ л ӳ 
РНМЦ	р н м ц 
Рейд	р е й д 
Рита	р и т а 
Роза	р о з а 
Русь	р у с ь 
СССР	с с с р 
Саша	с а ш а 
Сент	с е н т 
Сити	с и т и 
Сочи	с о ч и 
Стас	с т а с 
Сывӑ	с ы в ӑ 
ТАСС	т а с с 
ТАСс	т а с с 
Тани	т а н и 
Таса	т а с а 
Тата	т а т а 
Тури	т у р и 
Турӑ	т у р ӑ 
Тӳпе	т ӳ п е 
Тӳре	т ӳ р е 
УДОп	у д о п 
Укҫа	у к ҫ а 
Унпа	у н п а 
Унта	у н т а 
Унти	у н т и 
Унӑн	у н ӑ н 
Урал	у р а л 
Урӑх	у р ӑ х 
Усал	у с а л 
Уява	у я в а 
ФСБн	ф с б н 
Халӗ	х а л ӗ 
Хосе	х о с е 
Хула	х у л а 
Хура	х у р а 
Хушу	х у ш у 
Хытӑ	х ы т ӑ 
Хӑшӗ	х ӑ ш ӗ 
Хӗрӗ	х ӗ р ӗ 
ЧПУн	ч п у н 
ЧЭТА	ч э т а 
Чару	ч а р у 
Чӗре	ч ӗ р е 
Швед	ш в е д 
Шкул	ш к у л 
Шурӑ	ш у р ӑ 
ШӖМӗ	ш ӗ м ӗ 
Щорс	щ о р с 
Ыран	ы р а н 
Ытти	ы т т и 
Эгер	э г е р 
Элти	э л т и 
Элӗк	э л ӗ к 
Эпир	э п и р 
Юман	ю м а н 
Юнпа	ю н п а 
Юрий	ю р и й 
Юрма	ю р м а 
Яван	я в а н 
Явӑш	я в ӑ ш 
Ялта	я л т а 
Ялти	я л т и 
Ямал	я м а л 
Япӑх	я п ӑ х 
Ясна	я с н а 
Ятне	я т н е 
авӑн	а в ӑ н 
авӑр	а в ӑ р 
айчӗ	а й ч ӗ 
айӑп	а й ӑ п 
акци	а к ц и 
акчӗ	а к ч ӗ 
алка	а л к а 
алла	а л л а 
алӑк	а л ӑ к 
алӗҫ	а л ӗ ҫ 
анлӑ	а н л ӑ 
анне	а н н е 
аннӑ	а н н ӑ 
анӑҫ	а н ӑ ҫ 
апат	а п а т 
апла	а п л а 
аппа	а п п а 
аран	а р а н 
асав	а с а в 
аслӑ	а с л ӑ 
асра	а с р а 
атте	а т т е 
ачан	а ч а н 
ашшӗ	а ш ш ӗ 
база	б а з а 
балл	б а л л 
банк	б а н к 
было	б ы л о 
быть	б ы т ь 
бюро	б ю р о 
вара	в а р а 
варӗ	в а р ӗ 
ватӑ	в а т ӑ 
века	в е к а 
вете	в е т е 
видо	в и д о 
виле	в и л е 
вите	в и т е 
вити	в и т и 
вице	в и ц е 
виҫе	в и ҫ е 
виҫи	в и ҫ и 
виҫӗ	в и ҫ ӗ 
влаҫ	в л а ҫ 
врач	в р а ч 
всем	в с е м 
вунӑ	в у н ӑ 
вутӑ	в у т ӑ 
вӑйӑ	в ӑ й ӑ 
вӑрӑ	в ӑ р ӑ 
вӗрӗ	в ӗ р ӗ 
гала	г а л а 
годы	г о д ы 
дать	д а т ь 
дело	д е л о 
день	д е н ь 
евер	е в е р 
евӗр	е в ӗ р 
елки	е л к и 
енлӗ	е н л ӗ 
енне	е н н е 
енпе	е н п е 
енче	е н ч е 
енчи	е н ч и 
епле	е п л е 
если	е с л и 
ешӗл	е ш ӗ л 
зони	з о н и 
иккӗ	и к к ӗ 
илем	и л е м 
илес	и л е с 
илет	и л е т 
илме	и л м е 
илни	и л н и 
илнӗ	и л н ӗ 
илсе	и л с е 
илчӗ	и л ч ӗ 
илӗр	и л ӗ р 
илӗҫ	и л ӗ ҫ 
имӗш	и м ӗ ш 
инке	и н к е 
инҫе	и н ҫ е 
ирпе	и р п е 
иртӗ	и р т ӗ 
ирхи	и р х и 
ирӗк	и р ӗ к 
йыша	й ы ш а 
йышӗ	й ы ш ӗ 
йӑла	й ӑ л а 
йӑли	й ӑ л и 
йӗни	й ӗ н и 
йӗпе	й ӗ п е 
йӗре	й ӗ р е 
кадр	к а д р 
кайӗ	к а й ӗ 
кама	к а м а 
кану	к а н у 
каҫӑ	к а ҫ ӑ 
каҫӗ	к а ҫ ӗ 
киле	к и л е 
килӗ	к и л ӗ 
кино	к и н о 
кире	к и р е 
клуб	к л у б 
кнеҫ	к н е ҫ 
коми	к о м и 
куна	к у н а 
кунӗ	к у н ӗ 
купи	к у п и 
кура	к у р а 
куҫа	к у ҫ а 
куҫӑ	к у ҫ ӑ 
куҫӗ	к у ҫ ӗ 
кӑна	к ӑ н а 
кӑра	к ӑ р а 
кӑшт	к ӑ ш т 
кӗвӗ	к ӗ в ӗ 
кӗме	к ӗ м е 
кӗнӗ	к ӗ н ӗ 
кӗпи	к ӗ п и 
кӗрӗ	к ӗ р ӗ 
кӳни	к ӳ н и 
кӳнӗ	к ӳ н ӗ 
кӳчӗ	к ӳ ч ӗ 
лама	л а м а 
лару	л а р у 
ларӗ	л а р ӗ 
лекӗ	л е к ӗ 
мала	м а л а 
мамы	м а м ы 
мана	м а н а 
мера	м е р а 
метр	м е т р 
мире	м и р е 
миҫе	м и ҫ е 
млрд	м л р д 
морг	м о р г 
мсне	м с н е 
мэра	м э р а 
мэрӗ	м э р ӗ 
мӗне	м ӗ н е 
мӗшӗ	м ӗ ш ӗ 
наци	н а ц и 
нашу	н а ш у 
один	о д и н 
пайӗ	п а й ӗ 
пама	п а м а 
памӗ	п а м ӗ 
пани	п а н и 
панӑ	п а н ӑ 
парк	п а р к 
парӗ	п а р ӗ 
пата	п а т а 
паха	п а х а 
пачӗ	п а ч ӗ 
паян	п а я н 
пени	п е н и 
пенӗ	п е н ӗ 
пики	п и к и 
пине	п и н е 
пире	п и р е 
питӗ	п и т ӗ 
пичӗ	п и ч ӗ 
план	п л а н 
плин	п л и н 
пост	п о с т 
поэт	п о э т 
пула	п у л а 
пуль	п у л ь 
пулӗ	п у л ӗ 
пурӗ	п у р ӗ 
пусӗ	п у с ӗ 
пуху	п у х у 
пушӑ	п у ш ӑ 
пуян	п у я н 
пуҫа	п у ҫ а 
пыма	п ы м а 
пыни	п ы н и 
пынӑ	п ы н ӑ 
пырӗ	п ы р ӗ 
пычӗ	п ы ч ӗ 
пӑкӑ	п ӑ к ӑ 
пӑру	п ӑ р у 
пӑча	п ӑ ч а 
пӑши	п ӑ ш и 
пӗлӳ	п ӗ л ӳ 
пӗри	п ӗ р и 
пӳрт	п ӳ р т 
рейд	р е й д 
рейс	р е й с 
роле	р о л е 
роли	р о л и 
руль	р у л ь 
руна	р у н а 
сайт	с а й т 
сана	с а н а 
сапи	с а п и 
сари	с а р и 
сарӑ	с а р ӑ 
сасӑ	с а с ӑ 
сачӗ	с а ч ӗ 
свою	с в о ю 
село	с е л о 
сивӗ	с и в ӗ 
сиен	с и е н 
сире	с и р е 
сити	с и т и 
сони	с о н и 
суда	с у д а 
сума	с у м а 
суни	с у н и 
суту	с у т у 
сухи	с у х и 
сучӗ	с у ч ӗ 
сывӑ	с ы в ӑ 
сыра	с ы р а 
сӑвӑ	с ӑ в ӑ 
сӑра	с ӑ р а 
сӑри	с ӑ р и 
сӑрӑ	с ӑ р ӑ 
сӗнӳ	с ӗ н ӳ 
сӳсе	с ӳ с е 
тава	т а в а 
тара	т а р а 
тарӑ	т а р ӑ 
таса	т а с а 
тата	т а т а 
ташӑ	т а ш ӑ 
тема	т е м а 
теме	т е м е 
теми	т е м и 
тени	т е н и 
тенӗ	т е н ӗ 
тери	т е р и 
терт	т е р т 
терӗ	т е р ӗ 
тесе	т е с е 
тест	т е с т 
тивӗ	т и в ӗ 
тилӗ	т и л ӗ 
тума	т у м а 
тумӗ	т у м ӗ 
туни	т у н и 
тунӑ	т у н ӑ 
тупа	т у п а 
турӗ	т у р ӗ 
туса	т у с а 
тути	т у т и 
тухӗ	т у х ӗ 
тырӑ	т ы р ӑ 
тытӗ	т ы т ӗ 
тӑма	т ӑ м а 
тӑнӑ	т ӑ н ӑ 
тӑнӗ	т ӑ н ӗ 
тӑру	т ӑ р у 
тӑрӑ	т ӑ р ӑ 
тӑрӗ	т ӑ р ӗ 
тӑчӗ	т ӑ ч ӗ 
тӗле	т ӗ л е 
тӗпе	т ӗ п е 
тӗпӗ	т ӗ п ӗ 
тӗрӗ	т ӗ р ӗ 
тӳпе	т ӳ п е 
тӳпи	т ӳ п и 
тӳре	т ӳ р е 
тӳрӗ	т ӳ р ӗ 
уйӑх	у й ӑ х 
укҫа	у к ҫ а 
укҫи	у к ҫ и 
ултӑ	у л т ӑ 
умне	у м н е 
умӗн	у м ӗ н 
унпа	у н п а 
унра	у н р а 
унри	у н р и 
унта	у н т а 
унти	у н т и 
унӑн	у н ӑ н 
урам	у р а м 
урлӑ	у р л ӑ 
урок	у р о к 
урӑх	у р ӑ х 
усал	у с а л 
усса	у с с а 
усси	у с с и 
утма	у т м а 
утнӑ	у т н ӑ 
утта	у т т а 
уява	у я в а 
уявӗ	у я в ӗ 
уҫма	у ҫ м а 
уҫнӑ	у ҫ н ӑ 
уҫса	у ҫ с а 
уҫӗҫ	у ҫ ӗ ҫ 
фонд	ф о н д 
хака	х а к а 
хакӗ	х а к ӗ 
халь	х а л ь 
халӗ	х а л ӗ 
хама	х а м а 
хана	х а н а 
хать	х а т ь 
хаяр	х а я р 
хими	х и м и 
хорӗ	х о р ӗ 
хочу	х о ч у 
хула	х у л а 
хули	х у л и 
хума	х у м а 
хуни	х у н и 
хунӑ	х у н ӑ 
хупа	х у п а 
хупӑ	х у п ӑ 
хура	х у р а 
хута	х у т а 
хуть	х у т ь 
хучӗ	х у ч ӗ 
хушу	х у ш у 
хуҫи	х у ҫ и 
хытӑ	х ы т ӑ 
хӑма	х ӑ м а 
хӑми	х ӑ м и 
хӑна	х ӑ н а 
хӑшӗ	х ӑ ш ӗ 
хӗле	х ӗ л е 
хӗлӗ	х ӗ л ӗ 
хӗре	х ӗ р е 
хӗрӗ	х ӗ р ӗ 
хӗрӳ	х ӗ р ӳ 
цирк	ц и р к 
чакӗ	ч а к ӗ 
чару	ч а р у 
чикӗ	ч и к ӗ 
чирӗ	ч и р ӗ 
чулӗ	ч у л ӗ 
чуна	ч у н а 
чура	ч у р а 
чӗре	ч ӗ р е 
чӗрӗ	ч ӗ р ӗ 
шайӗ	ш а й ӗ 
шала	ш а л а 
шалу	ш а л у 
шара	ш а р а 
шина	ш и н а 
шкул	ш к у л 
шурӑ	ш у р ӑ 
шута	ш у т а 
шучӗ	ш у ч ӗ 
шыва	ш ы в а 
шывӗ	ш ы в ӗ 
шыҫӑ	ш ы ҫ ӑ 
шӑлӗ	ш ӑ л ӗ 
шӑна	ш ӑ н а 
шӑпа	ш ӑ п а 
ывӑл	ы в ӑ л 
ыйту	ы й т у 
ыран	ы р а н 
ыраш	ы р а ш 
ырми	ы р м и 
ытла	ы т л а 
ытти	ы т т и 
элек	э л е к 
эмел	э м е л 
эпир	э п и р 
эрех	э р е х 
эреш	э р е ш 
эрне	э р н е 
эсир	э с и р 
эсӗр	э с ӗ р 
этем	э т е м 
эфир	э ф и р 
юбка	ю б к а 
юлнӑ	ю л н ӑ 
юлчӗ	ю л ч ӗ 
юлӗҫ	ю л ӗ ҫ 
юмах	ю м а х 
юпан	ю п а н 
юрра	ю р р а 
юрри	ю р р и 
юрӑҫ	ю р ӑ ҫ 
юсав	ю с а в 
юсӗҫ	ю с ӗ ҫ 
ютра	ю т р а 
юхса	ю х с а 
юхӑм	ю х ӑ м 
яаап	я а а п 
явап	я в а п 
явнӑ	я в н ӑ 
явӗҫ	я в ӗ ҫ 
язык	я з ы к 
якут	я к у т 
ялан	я л а н 
ялне	я л н е 
ялта	я л т а 
ялти	я л т и 
яман	я м а н 
япӑр	я п ӑ р 
япӑх	я п ӑ х 
ярас	я р а с 
ярса	я р с а 
ятлӑ	я т л ӑ 
ятне	я т н е 
ятпа	я т п а 
яхӑн	я х ӑ н 
ящур	я щ у р 
Ҫакӑ	ҫ а к ӑ 
Ҫурт	ҫ у р т 
Ҫыру	ҫ ы р у 
ҪҪХИ	ҫ ҫ х и 
Ҫӑва	ҫ ӑ в а 
Ҫӗнӗ	ҫ ӗ н ӗ 
ҫанӑ	ҫ а н ӑ 
ҫапа	ҫ а п а 
ҫине	ҫ и н е 
ҫину	ҫ и н у 
ҫипе	ҫ и п е 
ҫитӗ	ҫ и т ӗ 
ҫичӗ	ҫ и ч ӗ 
ҫула	ҫ у л а 
ҫулӗ	ҫ у л ӗ 
ҫума	ҫ у м а 
ҫумӗ	ҫ у м ӗ 
ҫуни	ҫ у н и 
ҫунӑ	ҫ у н ӑ 
ҫури	ҫ у р и 
ҫурт	ҫ у р т 
ҫурӑ	ҫ у р ӑ 
ҫуса	ҫ у с а 
ҫути	ҫ у т и 
ҫутӑ	ҫ у т ӑ 
ҫыру	ҫ ы р у 
ҫӑва	ҫ ӑ в а 
ҫӑви	ҫ ӑ в и 
ҫӑвӗ	ҫ ӑ в ӗ 
ҫӑла	ҫ ӑ л а 
ҫӑмӗ	ҫ ӑ м ӗ 
ҫӗнӗ	ҫ ӗ н ӗ 
ҫӗре	ҫ ӗ р е 
ҫӳле	ҫ ӳ л е 
ҫӳрӗ	ҫ ӳ р ӗ 
ҫӳҫе	ҫ ӳ ҫ е 
ҫӳҫӗ	ҫ ӳ ҫ ӗ 
Ӑҫта	ӑ ҫ т а 
ӑслӑ	ӑ с л ӑ 
ӑсти	ӑ с т и 
ӑшне	ӑ ш н е 
ӑҫта	ӑ ҫ т а 
Ӗнер	ӗ н е р 
Ӗҫне	ӗ ҫ н е 
ӗлӗк	ӗ л ӗ к 
ӗмӗр	ӗ м ӗ р 
ӗнер	ӗ н е р 
ӗнтӗ	ӗ н т ӗ 
ӗҫес	ӗ ҫ е с 
ӗҫет	ӗ ҫ е т 
ӗҫке	ӗ ҫ к е 
ӗҫлӗ	ӗ ҫ л ӗ 
ӗҫне	ӗ ҫ н е 
ӗҫни	ӗ ҫ н и 
ӗҫпе	ӗ ҫ п е 
ӗҫре	ӗ ҫ р е 
ӗҫри	ӗ ҫ р и 
ӗҫсе	ӗ ҫ с е 
ӗҫӗн	ӗ ҫ ӗ н 
Ӳнер	ӳ н е р 
Ӳсӗр	ӳ с ӗ р 
ӳкме	ӳ к м е 
ӳкнӗ	ӳ к н ӗ 
ӳнер	ӳ н е р 
ӳсен	ӳ с е н 
ӳсет	ӳ с е т 
ӳсме	ӳ с м е 
ӳснӗ	ӳ с н ӗ 
ӳссе	ӳ с с е 
ӳсӗр	ӳ с ӗ р 
ӳтне	ӳ т н е 
АПШри	а п ш р и 
Аджай	а д ж а й 
Айдак	а й д а к 
Айсын	а й с ы н 
Айхин	а й х и н 
Акцие	а к ц и е 
Алена	а л е н а 
Алерт	а л е р т 
Алран	а л р а н 
Амӑшӗ	а м ӑ ш ӗ 
Антон	а н т о н 
Анчах	а н ч а х 
Арина	а р и н а 
Артем	а р т е м 
Арҫын	а р ҫ ы н 
Асӑну	а с ӑ н у 
Атана	а т а н а 
Атнер	а т н е р 
Ахаль	а х а л ь 
Ахрӑм	а х р ӑ м 
Ачана	а ч а н а 
Ашшӗн	а ш ш ӗ н 
Баерт	б а е р т 
Балан	б а л а н 
Балти	б а л т и 
Барӑш	б а р ӑ ш 
Белов	б е л о в 
Битва	б и т в а 
Борис	б о р и с 
Булат	б у л а т 
Бурят	б у р я т 
ВГНКИ	в г н к и 
ВЦИОМ	в ц и о м 
Вадим	в а д и м 
Вакун	в а к у н 
Вести	в е с т и 
Вилнӗ	в и л н ӗ 
Волга	в о л г а 
Вольц	в о л ь ц 
Вырӑс	в ы р ӑ с 
Вӑрҫӑ	в ӑ р ҫ ӑ 
Вӑтам	в ӑ т а м 
Вӑтӑр	в ӑ т ӑ р 
Вӑхӑт	в ӑ х ӑ т 
Вӗсем	в ӗ с е м 
Вӗсен	в ӗ с е н 
ГЭСӗн	г э с ӗ н 
Гирюк	г и р ю к 
Город	г о р о д 
Дамба	д а м б а 
Денис	д е н и с 
Доржи	д о р ж и 
Драма	д р а м а 
Думин	д у м и н 
Дуняк	д у н я к 
Елена	е л е н а 
Енрен	е н р е н 
Енчен	е н ч е н 
Еншӗн	е н ш ӗ н 
Еткер	е т к е р 
ЗАГСА	з а г с а 
Залка	з а л к а 
Ивана	и в а н а 
Игорь	и г о р ь 
Ильин	и л ь и н 
Индин	и н д и н 
Индия	и н д и я 
Инкек	и н к е к 
Инҫет	и н ҫ е т 
Ионов	и о н о в 
Ирина	и р и н а 
Иртен	и р т е н 
Иртнӗ	и р т н ӗ 
Йывӑҫ	й ы в ӑ ҫ 
Йӗрке	й ӗ р к е 
Йӱштӧ	й ӱ ш т ӧ 
Йӳштӑ	й ӳ ш т ӑ 
КАнаш	к а н а ш 
Калӑн	к а л ӑ н 
Камит	к а м и т 
Канаш	к а н а ш 
Карӑк	к а р ӑ к 
Каспи	к а с п и 
Катек	к а т е к 
Каччӑ	к а ч ч ӑ 
Кашни	к а ш н и 
Каҫал	к а ҫ а л 
Каҫхи	к а ҫ х и 
Кееда	к е е д а 
Кибеч	к и б е ч 
Килнӗ	к и л н ӗ 
Килти	к и л т и 
Кирек	к и р е к 
Кисан	к и с а н 
